-133.3	-7.9	-2.1
-133.2	-7.3	-2
-133.2	-6.6	-1.9
-133.2	-6.4	-1.9
-133.1	-5	-1.7
-132.6	-1.9	-1.4
-133.4	-0.7	-1.4
-133.9	-0.6	-1.3
-134	-0.6	-1.2
-134.2	-0.9	-1.3
-134.4	-1.6	-1.5
-134.5	-2.3	-1.6
-134.6	-3.3	-1.8
-134.8	-4.4	-2
-134.9	-4.9	-2.1
-134.7	-5.2	-2
-134.7	-5.7	-2
-134.5	-6.2	-1.9
-134.4	-6.6	-1.8
-134.1	-7.6	-1.5
-133.5	-8.9	-1
-132.8	-11.2	-0.5
-133.7	-17.9	-1.1
-134	-30.7	-3.8
-133	-44.1	-5.2
-131.1	-53.2	-4.5
-129.2	-61	-2.7
-129.5	-66.8	-0.5
-131	-71.6	0.3
-132.8	-76.7	1
-133.8	-80.7	1.5
-134.2	-83.2	1.1
-134.2	-84.7	1.2
-134.1	-85.3	1.2
-133.7	-85.9	1.2
-133.5	-86	1.2
-133.4	-86.2	1.2
-133.3	-86.2	1.2
-133.3	-86	1.2
-133.2	-86	1.2
-133.2	-85.8	1.1
-133.3	-86.1	1.5
-133.3	-86.1	1.4
-133.2	-86.1	1.4
-133.3	-85.6	1.2
-133.4	-84.1	0.9
-133.7	-81	0.8
-134.1	-77.3	0.9
-134.8	-72.4	2.6
-135.2	-66.2	4.4
-134.4	-62.3	4.8
-133.1	-53.3	4
-131	-45.7	2.8
-129.8	-37.8	1.4
-129.2	-28.4	0.9
-128	-22.1	1.5
-127.5	-16.9	1.7
-127.4	-8.3	1.9
-127.7	-1.6	1.7
-128.5	5.5	1.8
-129.6	12.8	2.9
-130.5	19	3
-131.8	24.1	4
-132.9	28.2	4.8
-134	30.1	4.9
-134.9	31.5	4.9
-136	32.7	5.1
-137.2	32.9	4.7
-138.3	34	4.9
-139.4	35.3	5.3
-140.1	37.2	5.7
-141.1	37.8	5.8
-141.8	39.1	6.1
-142.7	39.3	6
-143.4	40	5.9
-144.2	40.5	5.8
-145	41.6	5.9
-145.8	42	5.5
-146.4	43.3	5
-147.1	44.9	4.2
-148.1	46.5	3.7
-148.8	49.1	2.6
-149.6	52.9	1.6
-151.1	56.9	1.3
-152.9	59.6	1.2
-154.9	63.8	1.7
-156.9	67	1.8
-159.3	68.8	0.9
-161.7	71.6	0.6
-164.5	73.9	0.3
-167.7	74.7	-0.2
-170.5	76	-0.3
-173.4	76.2	-1
-176.3	77.6	-1.1
-179.2	75.6	-2.1
178	71.7	-2.6
176	63.3	-2.6
173.9	50.1	-2.5
172.4	37.7	-2
170.7	22.6	-1.4
172.7	13.5	-0.9
179.5	6.2	-1.5
-175.3	3.5	-1.6
-171.1	0.9	-2.6
-168	-1.4	-3.7
-165.3	-2.5	-3.8
-162.8	-3.4	-4.2
-160.1	-3.8	-4.7
-157.4	-3.6	-4.9
-155.3	-1.5	-5.1
-153.7	-1	-5.2
-152.2	1.1	-4.6
-151.2	0.6	-4.8
-150.1	0.1	-4.7
-148.8	-0.2	-4.8
-148.2	1.7	-4.6
-147.8	4.2	-4.2
-149.1	12.7	-3.4
-150.3	19.7	-2.5
-151.5	28.4	-2.7
-153.3	37.1	-2.5
-153.4	44.3	-2.9
-154.8	48.8	-1.8
-156.2	52.4	-1.4
-157.9	55.8	-1
-160	58.3	-0.7
-162	60.2	-0.4
-164	61.6	-0.6
-165.9	63.2	-0.4
-167.9	64.1	-0.6
-169.6	66.6	0
-171.7	67.1	-0.4
-173.5	67.3	-0.8
-175.1	67.8	-1
-177.1	68.7	-1.3
-178.8	69.6	-1.7
179.4	68.9	-2.4
178.4	64.5	-3.2
177.8	56.7	-3.2
177.3	47.9	-2.7
177	41.2	-2.5
177.3	36.5	-2.5
177.6	31.7	-3.1
177.9	27.3	-3.7
179.1	23.5	-3.8
-179.9	18.9	-2.8
-177.7	17.2	-2.6
-174.7	15.6	-2.8
-171.7	13.9	-3.1
-168.8	13.1	-3.7
-166.1	11.8	-3.9
-164.4	12.8	-4.2
-163.3	14.1	-4.6
-162.5	15.6	-4.6
-161.6	16	-4.2
-160.1	12.3	-3.6
-158.1	7.7	-2.7
-156.6	7.1	-2.7
-155.5	8.4	-3.2
-155.1	11.3	-4.4
-154.9	14.2	-5.7
-154	14.4	-5.4
-152.6	11.4	-4.9
-151.5	9.5	-4.6
-150.3	7.1	-3.8
-148.9	5.4	-3.1
-147.7	4.1	-2.3
-147	3.9	-2.2
-146.2	3.5	-2
-145.2	4.4	-2.3
-144	4.4	-2.5
-142.8	5.1	-2.8
-142.4	7.2	-3.5
-142.4	8.5	-3.8
-145	9.5	-3.1
-151	11.3	-0.6
-155.3	11.5	0.6
-155.9	11.5	0.9
-155	11.3	0.3
-152.7	8.9	-0.1
-148.7	5.9	-0.3
-144.7	4.7	-0.8
-142	5.8	-1.8
-141.2	7.5	-2.5
-141.8	10.8	-2.7
-143.6	11.9	-2
-145.6	10.3	-0.3
-146.2	6.3	1.2
-144.4	2.1	1.9
-142.3	0.5	2.2
-138.8	-0.1	1.3
-137.1	4.1	-0.5
-137.2	8.4	-2.1
-138.7	9.5	-1.4
-140.9	6.4	0.4
-141.7	1.3	1.6
-139.8	-1	1.6
-137.4	-0.3	0.6
-135.9	0	0.1
-135.2	6	-1
-136.5	8.4	-0.8
-139.8	7.8	0.8
-141.5	3.1	2.6
-140.3	0	3
-137.8	-0.2	2.2
-135.5	2.8	1.1
-135.1	7.1	0.4
-136.9	10.5	0.7
-140.6	11.1	2.6
-142.8	8.5	3.7
-141.7	4	4.1
-138.9	2.2	3.8
-135.9	6.4	2.3
-135.8	9.7	2
-138.4	11.1	3.1
-141.7	7.6	4.9
-142.2	2.1	5.2
-140	-1.1	5.2
-135.6	-1.7	4.4
-132	1.2	3.2
-131.3	6	2.6
-132.6	9.4	3.2
-136.1	6.6	5.2
-139.8	2.7	6.6
-139.2	-1.1	6.4
-134.6	-0.9	4.6
-132.3	-0.3	3.7
-131.6	6.2	2.2
-133.2	9.7	2.3
-136.3	9	4.7
-138.7	1.9	6.8
-136.9	-2.7	7.2
-134.1	-3.4	6.7
-132.1	-1.2	5.3
-131.7	5.1	4.3
-132.8	10.7	3.9
-134.9	8.7	5.5
-136.5	2.7	7.1
-135.4	-1.5	7.2
-133	0.5	5.1
-131.5	5.6	3.3
-132.2	9.1	3.1
-133.8	8.1	5
-134.6	6	6
-134.7	4.5	6.4
-134.6	3.7	6.5
-134.3	2	6.6
-133.9	3.6	6.4
-133.7	3.8	5.9
-132.8	4.9	5
-132.5	5.5	4
-133.7	8.4	3.3
-135.3	10.3	3.7
-137.4	6.3	5.5
-138.5	-4	6.7
-136.7	-7.8	6.6
-133.9	-6.1	5.4
-130.4	-3.1	3.6
-128.6	0.1	2.7
-129.6	8.3	1.8
-132.1	10.8	3
-135.7	7.4	5.8
-136.6	2.1	6.7
-134.1	-1.2	6.6
-130.2	-0.2	5.4
-129.4	4.9	4.1
-131.1	10.9	4.1
-135.1	12.9	6.3
-138.5	6.2	8.3
-139.9	-2.3	9.4
-137.1	-2.9	8.1
-134	-2.5	6.7
-132.1	0.3	5.4
-132.2	4.9	4.2
-133	7	4.4
-133.2	6.1	4.7
-133.1	5.6	4.7
-133.3	4.9	5.2
-133.3	4.6	5.3
-133.4	4.3	5.6
